"id_cat","categorie","id_track","nom_track","id_art","nom_art","id_album","nom_album","date_album"
40,"garage","3jfZ9M23l0L7RxzYMTgBTv","Looking Out for You","4jCIAMb0zEArF3GYEYzoDk","Joy Again","7slouenWhZDdDZibkS4nR3","Looking Out for You","2016-01-15"
40,"garage","2AT8iROs4FQueDv2c8q2KE","R U Mine?","7Ln80lUS6He07XvHI8qqHH","Arctic Monkeys","78bpIziExqiI9qztvNFlQu","AM","2013-09-09"
40,"garage","5ruzrDWcT0vuJIOMW7gMnW","The Adults Are Talking","0epOFNiUfyON9EYx7Tpr6V","The Strokes","2xkZV2Hl1Omi8rk2D7t5lN","The New Abnormal","2020-04-10"
40,"garage","7e8utCy2JlSB8dRHKi49xM","Fluorescent Adolescent","7Ln80lUS6He07XvHI8qqHH","Arctic Monkeys","6rsQnwaoJHxXJRCDBPkBRw","Favourite Worst Nightmare (Standard Version)","2007-04-24"
40,"garage","305WCRhhS10XUcH6AEwZk6","Are You Gonna Be My Girl","5ypxebeHEIXjMtJb17uJlI","Jet","6NrLpQCPYrNS3kVWxDgIlg","Get Born","2003-09-15"
41,"german","0ZfByLXCeKchuj7zi1CJ0S","Stolen Dance","1hzfo8twXdOegF3xireCYs","Milky Chance","3AWjk0oVV9YAY9r9boiffN","Sadnecessary (Bonus Track Version)","2014-10-14"
41,"german","09IStsImFySgyp0pIQdqAc","The Middle","4lDBihdpMlOalxy1jkUbPl","Grey","7nEiwcUSwycvC77kZ9ub7c","The Middle","2018-01-23"
41,"german","58XWGx7KNNkKneHdprcprX","Rock You Like A Hurricane","27T030eWyCQRmDyuvr1kxY","Scorpions","71cfSO0iO1fjgQLEb3Wc6C","Love At First Sting","1984-03-27"
41,"german","60wwxj6Dd9NJlirf84wr2c","Clarity","7qRll6DYV06u2VuRPAVqug","Foxes","7juWTdmjo0vYywWu8HiQxs","Clarity","2012-01-01"
41,"german","5YJtMNWKe55yr49cyJgxva","Everytime We Touch","0N0d3kjwdY2h7UVuTdJGfp","Cascada","2unbJ7dUr9mITQiMwWFqQD","Everytime We Touch (Premium Edition)","2010-02-12"
41,"german","6uBhi9gBXWjanegOb2Phh0","Stay","2wUjUUtkb5lvLKcGKsKqsR","Alessia Cara","1I4W7JKzYbl8VKRfD61DIS","Stay","2017-02-23"
41,"german","0oA9wBGDY4uyILLg4GymWP","Tom's Diner","5wD0owYApRtYmjPWavWKvb","Giant Rooks","7ClPGbXY81egfNn8H1hDAg","Tom's Diner","2019-06-28"
41,"german","3ovjw5HZZv43SxTwApooCM","Wind Of Change","27T030eWyCQRmDyuvr1kxY","Scorpions","3dLKM8bD8R3H3XnSOXGjTF","Crazy World","1990-01-01"
41,"german","61dYvvfIRtIDFuqZypPAta","Cello Suite No. 1 in G Major, BWV 1007: I. Prélude","5Dl3HXZjG6ZOWT5cV375lk","Yo-Yo Ma","2OpnKgmVYPEN2GldgBponI","Bach: Unaccompanied Cello Suites (Remastered)",1983
41,"german","50Td3qilgs8BLtv8mHyT1t","Control","03d2mJXSMtuPI0nIvLnhoS","Zoe Wees","4w177LbRYa3z07NifGptFp","Control","2020-03-13"
42,"gospel","3xx0jE52PbtvwXgNaBUdch","Deeper Than the Holler","1pTuR132U5b4Rizal2Pr7m","Randy Travis","7vc42OZvG6c1vTz7GOmzTh","Old 8 x 10","1988-07-12"
